time (s),Altitude (m),Airspeed (kmh),ax,ay,GForce
120.8333,13086,383,-0.14327356497393176,-0.14819152193336005,0.20612627584387436
121.0,13067,382,0.00813518784372777,-0.21347118264909157,0.21362613862272226
121.1667,13049,380,0.08512431815165843,-0.2093943651582438,0.22603572660269594
121.3333,13030,379,0.14193516188830238,-0.20465114480831548,0.2490535710477019
121.5,13011,373,0.17949592303595066,-0.1907910853442387,0.26195424148763174
121.6667,12993,377,0.1736414339183244,-0.17034472562283234,0.24324611635282042
121.8333,12975,376,0.1762052766599635,-0.18124105727479742,0.25277780829198726
122.0,12958,375,0.118803452119572,-0.1705408089904085,0.20784231466818884
122.1667,12940,374,0.10782278353531659,-0.19269822952649546,0.2208129532250082
122.3333,12923,373,0.10742361382275116,-0.2107495709725092,0.23654854569799466
122.5,12905,373,0.0678762441519183,-0.2266424391579839,0.23658820711872192
122.6667,12887,372,0.07185656892108941,-0.22704047163490093,0.23814017354765982
122.8333,12870,372,0.10187959003712037,-0.22516403281514938,0.24714022849328554
123.0,12852,372,0.11311070918994662,-0.23031460975147716,0.2565908260215628
123.1667,12835,372,0.13957895177940918,-0.2429049089291677,0.28015188480844794
123.3333,12817,372,0.14484577437575852,-0.21047236978322775,0.2554973909782268
123.5,12799,372,0.10261879320853763,-0.16159256007325018,0.19142301896742608
123.6667,12783,372,0.0039015696801550873,-0.16407897074074493,0.16412535113537866
123.8333,12768,372,-0.028959371303765264,-0.17637662350159852,0.17873824018416984
124.0,12753,372,-0.02996737562842505,-0.18948067972218058,0.19183579329737893
124.1667,12737,372,-0.021330794574737376,-0.1877307842145704,0.18893874705577798
124.3333,12722,372,-0.01491451104683373,-0.18265985045864702,0.18326773750265327
124.5,12707,372,0.04775349115222187,-0.18984654795853872,0.19576033226626652
124.6667,12690,372,0.04717855535223051,-0.20077032815837395,0.20623903790006548
124.8333,12671,373,0.04319823058305941,-0.22226408191189623,0.22642307575343396
125.0,12652,373,0.01942483627992115,-0.23040565530338186,0.231223031422656
125.1667,12633,373,0.015097137712714048,-0.23181686135790608,0.2323079438524376
125.3333,12615,373,0.0047482933128697126,-0.2266424391579839,0.2266921734795127
125.5,12596,374,0.019236675472651427,-0.22560755471799956,0.22642618759559435
125.6667,12578,374,0.001549559589281816,-0.21911600686718846,0.2191214859395183
125.8333,12561,374,0.001549559589281816,-0.21911600686718846,0.2191214859395183
126.0,12543,375,-0.020088933246755897,-0.22592872575109826,0.2268200924929438
126.1667,12526,375,-0.01107542360818187,-0.22130110011290313,0.22157807183762981
126.3333,12509,375,0.0023930390701464915,-0.23449328663372798,0.2345054969766785
126.5,12491,375,0.026480866552542285,-0.23181686135790608,0.2333244382897004
126.6667,12473,375,0.07795275054124041,-0.22119567894753997,0.23452965633797368
126.8333,12455,375,0.019236675472651427,-0.22353778583803088,0.22436397077206818
127.0,12437,375,-0.003307023409170752,-0.21881088123377776,0.2188358703460911
127.1667,12419,375,-0.007858480774213033,-0.21253037861274207,0.21267561579399313
127.3333,12401,375,-0.004565666646989836,-0.20077032815837395,0.20082223477681102
127.5,12383,375,-0.007069419324371388,-0.2022725797648029,0.2023960800368731
127.6667,12366,375,-0.03474979614653515,-0.20508234665830888,0.2080055702213393
127.8333,12350,375,-0.08703302045824704,-0.2133829822706839,0.23044965561444575
128.0,12334,375,-0.06998514731743265,-0.20742315670113065,0.21891159581188147
128.1667,12318,375,-0.03173138319658044,-0.2525145501575941,0.25450044935296345
128.3333,12301,375,0.02182388657261229,-0.2442354746377191,0.2452085828364215
128.5,12285,375,0.05752739975207441,-0.22899444924885762,0.23610984627715675
128.6667,12268,375,0.07460299301181698,-0.22405522805802305,0.23614900335689318
128.8333,12251,375,0.034948102879687214,-0.2078263584309951,0.21074431226862955
129.0,12233,375,-0.006783276161242068,-0.20742315670113065,0.20753404243964768
129.1667,12216,375,-0.021438782516300697,-0.1865969108281527,0.1878244620021333
129.3333,12199,375,-0.023538548046704008,-0.1829473183586425,0.18445537275657078
129.5,12181,375,-0.07068328364599355,-0.1829473183586425,0.19612712173893357
129.6667,12163,375,-0.08539370997680608,-0.19488219255156614,0.21277019217293705
129.8333,12144,375,-0.09609941108009323,-0.2002350431032095,0.2221017093506597
130.0,12125,375,-0.020088933246755897,-0.23354166875788013,0.23440408760345463
130.1667,12107,375,0.042004133152308346,-0.24734012795767216,0.250881418403186
130.3333,12088,374,0.06639783780908377,-0.2539929565004291,0.26252827432021536
130.5,12069,374,0.07677625033578446,-0.25851687990950367,0.2696767876806749
130.6667,12051,374,0.07553438900780299,-0.23740523733382207,0.24913187398707234
130.8333,12035,373,0.06127439513822481,-0.25162240839898703,0.2589756511876395
131.0,12018,373,-0.004565666646989836,-0.2628633945574382,0.26290304203297243
131.1667,12001,373,-0.031176980818017497,-0.2340344708721583,0.2361019646028769
131.3333,11984,373,-0.023814517230699894,-0.24485640530170963,0.24601176892215215
131.5,11968,372,-0.020088933246755897,-0.2628633945574382,0.26362990998225533
131.6667,11951,372,-0.044236236846391795,-0.23354166875788013,0.23769424834552788
131.8333,11935,373,0.0006087555529323311,-0.2589825779074967,0.258983293366456
132.0,11918,373,0.01952216083540596,-0.28266894159851913,0.28334227589279803
132.1667,11902,373,0.01555708635270704,-0.28528589075710026,0.28570975202267374
132.3333,11885,373,0.030620404312480108,-0.2670029323173758,0.2687530000322544
132.5,11869,374,0.028832876643415998,-0.28873550555704836,0.2901715474418861
132.6667,11852,374,0.06946837405958683,-0.29390992775697034,0.3020081135145051
